
2023/10/01 (17:48:42) | ===> btop++ v.1.2.13
2023/10/01 (17:48:42) | ERROR: Stall in Runner thread, restarting!

2024/10/20 (15:01:23) | ===> btop++ v.1.4.0
2024/10/20 (15:01:23) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/20 (15:01:23) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2024/10/20 (15:01:23) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/20 (15:03:57) | ===> btop++ v.1.4.0
2024/10/20 (15:03:57) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/20 (15:03:57) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2024/10/20 (15:03:57) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/20 (19:01:26) | ===> btop++ v.1.4.0
2024/10/20 (19:01:26) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/20 (19:01:26) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2024/10/20 (19:01:26) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/21 (22:10:23) | ===> btop++ v.1.4.0
2024/10/21 (22:10:23) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/21 (22:10:23) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2024/10/21 (22:10:23) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/27 (13:00:53) | ===> btop++ v.1.4.0
2024/10/27 (13:00:53) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/27 (13:00:53) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2024/10/27 (13:00:53) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/02 (10:36:46) | ===> btop++ v.1.4.0
2024/11/02 (10:36:46) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/11/02 (10:36:46) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2024/11/02 (10:36:46) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/02 (10:38:29) | ===> btop++ v.1.4.0
2024/11/02 (10:38:29) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/11/02 (10:38:29) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2024/11/02 (10:38:29) | WARNING: Intel GPU: Failed to initialize PMU
